Mon Dec  9 14:19:29 2024    test.prof

         22168758 function calls (21994485 primitive calls) in 205.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2857    0.019    0.000    1.304    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
     2806    0.005    0.000    1.249    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
     2806    0.014    0.000    1.244    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
   339499    0.284    0.000    1.157    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\traceback.py:391(extended_frame_gen)
     4170    0.063    0.000    1.147    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        5    0.000    0.000    1.138    0.228 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\module.py:1213(to)
     89/5    0.002    0.000    1.138    0.228 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\module.py:897(_apply)
     1260    0.059    0.000    1.136    0.001 {method 'transpose' of 'torch._C.TensorBase' objects}
        1    0.001    0.001    1.123    1.123 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\utils.py:1(<module>)
   322025    0.483    0.000    1.119    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\linecache.py:26(getline)
        1    1.096    1.096    1.104    1.104 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\__init__.py:151(_load_dll_libraries)
   123/10    0.100    0.001    1.086    0.109 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\mailbox.py:124(_get_and_clear)
        1    0.000    0.000    1.045    1.045 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
       86    0.000    0.000    1.041    0.012 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\module.py:1317(convert)
        1    0.000    0.000    1.016    1.016 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\_composable\__init__.py:1(<module>)
        1    0.000    0.000    1.013    1.013 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\interface\router.py:65(message_loop)
13651/13650    0.984    0.000    1.006    0.000 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.985    0.985 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
    36064    0.979    0.000    0.981    0.000 {built-in method torch.tensor}
        1    0.000    0.000    0.979    0.979 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_helper.py:1(<module>)
        1    0.000    0.000    0.964    0.964 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\__init__.py:1(<module>)
